short_description,product_id,gender,price,order,tag,tag_descritpion,farfetch_url,farfetch_male_url,farfetch_female_url,colors,categories,variants,_brand,_season,measurements,compositions,price_provider,price_url
regent,11221594,Male,990,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean2,11221636,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
regent,11221594,Male,990,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
bond,11221597,Male,890,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
vyner,11221602,Male,295,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
maddox,11221607,Male,450,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
rivington,11221616,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
kingsland,11221618,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
hoxton,11221622,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean,11221632,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean2,11221636,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean54,11221639,Male,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
regent,11221646,Female,990,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
bond,11221658,Female,890,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
vyner,11221663,Female,500,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
maddox,11221692,Female,450,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
lady_rivington,11221695,Female,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
lady_kingsland,11221702,Female,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
lady_hoxton,11221733,Female,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean,11221735,Female,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean2,11221738,Female,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
dean54,11221743,Female,425,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
maltby,11253851,Male,690,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
maltby,11253046,Female,690,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
conduit,11275662,Male,390,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
conduit,11275664,Female,390,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
maddox,10897903,Female,450,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
carnaby,11342379,Female,390,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
carnaby,11342378,Male,390,,,,,,,,,,,,,,ripe,https://api.my-swear.com/config/availability
